Index;Rhod;Rhol;Md;Ml;sd;sl;e;Sigmad;Sigmal;stoch;RhoA;Ta;Tau0;Deltah;DeltaH;Cp;Cpa;Ti;X0;r00;Blai;me
1;512.6;512.6;0.1;1.0;11483;11483;0.305;0.166;0.0;8.3;1.0;300.0;70000.0;18605000;18605000;1800.0;1000.0;600.0;0.3;2.5e-05;0.0;0.12
2;512.6;512.6;0.1;1.0;9134;9134;0.305;0.897;0.0;8.3;1.0;300.0;70000.0;18605000;18605000;1800.0;1000.0;600.0;0.3;2.5e-05;0.5;0.15
3;512.6;512.6;0.1;1.0;4921;4921;0.762;0.675;0.0;8.3;1.0;300.0;70000.0;18605000;18605000;1800.0;1000.0;600.0;0.3;2.5e-05;0.0;0.25
4;512.6;512.6;0.1;1.0;5705;5705;1.829;2.468;0.0;8.3;1.0;300.0;70000.0;18605000;18605000;1800.0;1000.0;600.0;0.3;2.5e-05;2.0;0.2
5;512.6;512.6;0.1;1.0;5522;5522;0.61;0.785;0.0;8.3;1.0;300.0;70000.0;18605000;18605000;1800.0;1000.0;600.0;0.3;2.5e-05;1.0;0.2
6;512.6;512.6;0.1;1.0;5131;5131;0.762;1.345;0.0;8.3;1.0;300.0;70000.0;18605000;18605000;1800.0;1000.0;600.0;0.3;2.5e-05;0.0;0.25
7;512.6;512.6;0.1;1.0;5125;5125;0.762;1.092;0.0;8.3;1.0;300.0;70000.0;18605000;18605000;1800.0;1000.0;600.0;0.3;2.5e-05;0.4;0.4
8;512.6;512.6;0.1;1.0;6198;6198;0.061;1.121;0.0;8.3;1.0;300.0;70000.0;18605000;18605000;1800.0;1000.0;600.0;0.3;2.5e-05;0.0;0.3
9;512.6;512.6;0.1;1.0;8150;8150;0.061;0.78;0.0;8.3;1.0;300.0;70000.0;18605000;18605000;1800.0;1000.0;600.0;0.3;2.5e-05;0.0;0.25
10;512.6;512.6;0.1;1.0;5787;5787;0.305;2.694;0.0;8.3;1.0;300.0;70000.0;18605000;18605000;1800.0;1000.0;600.0;0.3;2.5e-05;1.0;0.25
11;512.6;512.6;0.1;1.0;3878;3878;0.305;2.582;0.0;8.3;1.0;300.0;70000.0;18605000;18605000;1800.0;1000.0;600.0;0.3;2.5e-05;0.0;0.15
12;512.6;512.6;0.1;1.0;3757;3757;0.701;7.749;0.0;8.3;1.0;300.0;70000.0;18605000;18605000;1800.0;1000.0;600.0;0.3;2.5e-05;0.0;0.2
13;512.6;512.6;0.1;1.0;3802;3802;0.914;13.02;0.0;8.3;1.0;300.0;70000.0;18605000;18605000;1800.0;1000.0;600.0;0.3;2.5e-05;0.0;0.25
14;563.0;522.0;0.1;1.0;6099.0;7273.0;0;0.764;0.352;8.3;1.0;300;70000;18169000.0;18167000.0;1800;1000;600;0.3;2.5e-05;4.0;0.3
